,brown,grey,black,white,pink,red,yellow,orange,blue,green,purple,turquoise
brown,354,132,77,86,5,32,1,20,8,3,10,12
grey,163,365,97,50,6,10,0,17,19,1,7,5
black,115,214,257,45,9,57,1,19,16,4,2,1
white,101,45,16,369,53,7,3,52,26,12,14,43
pink,75,23,10,97,267,22,4,156,6,21,8,51
red,61,13,44,41,108,325,4,110,2,11,3,17
yellow,101,50,26,79,238,48,7,126,7,12,10,37
orange,104,28,12,95,235,40,5,158,3,12,6,42
blue,76,109,13,273,80,9,1,68,44,18,6,43
green,101,19,25,213,136,39,0,89,7,28,11,72
purple,140,112,39,162,83,28,2,86,31,13,11,33
turquoise,86,34,5,219,169,8,1,112,15,21,8,61
